,path,labels,hog_features
0,/content/vehicle-detection-image-set/data/vehicles/far (441).png,1.0,[0.15991913 0.2197203  0.09034453 ... 0.01067465 0.02011091 0.01818258]
1,/content/vehicle-detection-image-set/data/vehicles/3486.png,1.0,[0.05223386 0.00343644 0.02044174 ... 0.2207884  0.08568079 0.02690159]
2,/content/vehicle-detection-image-set/data/vehicles/2271.png,1.0,[0.02497121 0.00354602 0.         ... 0.         0.         0.        ]
3,/content/vehicle-detection-image-set/data/non-vehicles/image2128.png,0.0,[0.38114247 0.38114247 0.03228938 ... 0.12127631 0.05568194 0.20954769]
4,/content/vehicle-detection-image-set/data/non-vehicles/image1077.png,0.0,[0.04539552 0.         0.00208438 ... 0.23501401 0.09682853 0.10716735]
5,/content/vehicle-detection-image-set/data/non-vehicles/extra2728.png,0.0,[0.22594806 0.06018679 0.07955141 ... 0.         0.         0.        ]
6,/content/vehicle-detection-image-set/data/non-vehicles/extra654.png,0.0,[0.13156231 0.04573093 0.05789378 ... 0.18674284 0.03115678 0.05572351]
7,/content/vehicle-detection-image-set/data/vehicles/4166.png,1.0,[0.1413695  0.13206876 0.08169166 ... 0.01771354 0.05421438 0.04726912]
8,/content/vehicle-detection-image-set/data/vehicles/462.png,1.0,[0.32581593 0.00692915 0.15475259 ... 0.         0.03961984 0.43459514]
9,/content/vehicle-detection-image-set/data/vehicles/far (647).png,1.0,[0.06591876 0.08989675 0.04672042 ... 0.01260009 0.00498062 0.        ]
10,/content/vehicle-detection-image-set/data/vehicles/3077.png,1.0,[0.25631941 0.10287551 0.03553263 ... 0.         0.02024778 0.04558875]
11,/content/vehicle-detection-image-set/data/vehicles/far (569).png,1.0,[0.05404594 0.04339768 0.02605659 ... 0.04261643 0.08079122 0.00997886]
12,/content/vehicle-detection-image-set/data/vehicles/right (591).png,1.0,[0.28214244 0.22565777 0.28214244 ... 0.10843595 0.09162626 0.05474654]
13,/content/vehicle-detection-image-set/data/non-vehicles/extra2219.png,0.0,[0.06741674 0.03505313 0.05760039 ... 0.21403567 0.01346283 0.        ]
14,/content/vehicle-detection-image-set/data/vehicles/3594.png,1.0,[0.09065573 0.         0.         ... 0.10674616 0.         0.0218277 ]
15,/content/vehicle-detection-image-set/data/non-vehicles/image115.png,0.0,[0.1718613  0.31193711 0.31193711 ... 0.10897459 0.04780371 0.01943829]
16,/content/vehicle-detection-image-set/data/non-vehicles/extra5599.png,0.0,[0.01958798 0.01986894 0.01146509 ... 0.21444142 0.07319828 0.03248826]
17,/content/vehicle-detection-image-set/data/non-vehicles/extra5447.png,0.0,[0.06068116 0.00970509 0.01535096 ... 0.00504914 0.017638   0.00631142]
18,/content/vehicle-detection-image-set/data/vehicles/left (305).png,1.0,[0.15989396 0.05897868 0.09435376 ... 0.02490795 0.06345137 0.18678749]
19,/content/vehicle-detection-image-set/data/vehicles/2085.png,1.0,[0.16961402 0.02320791 0.04955221 ... 0.03218812 0.03901122 0.09820955]
20,/content/vehicle-detection-image-set/data/non-vehicles/extra5753.png,0.0,[0.33246784 0.2861608  0.06768394 ... 0.04307913 0.09141679 0.02072071]
21,/content/vehicle-detection-image-set/data/vehicles/1238.png,1.0,[0.02746274 0.03108996 0.         ... 0.         0.         0.        ]
22,/content/vehicle-detection-image-set/data/non-vehicles/image2938.png,0.0,[0.31340106 0.05320147 0.03763315 ... 0.06076016 0.08207825 0.07174756]
23,/content/vehicle-detection-image-set/data/vehicles/3146.png,1.0,[0.26606245 0.14252544 0.05061847 ... 0.         0.         0.        ]
24,/content/vehicle-detection-image-set/data/non-vehicles/image1666.png,0.0,[0.06866988 0.02503392 0.06800783 ... 0.16769464 0.14427786 0.08609758]
25,/content/vehicle-detection-image-set/data/vehicles/5732.png,1.0,[0.30976014 0.         0.0075901  ... 0.06741518 0.06344537 0.09251229]
26,/content/vehicle-detection-image-set/data/non-vehicles/extra3437.png,0.0,[0.19136671 0.13893654 0.13211795 ... 0.0251008  0.00267737 0.        ]
27,/content/vehicle-detection-image-set/data/vehicles/5194.png,1.0,[0.24696169 0.1007109  0.06114692 ... 0.03328621 0.         0.        ]
28,/content/vehicle-detection-image-set/data/vehicles/4241.png,1.0,[0.25205585 0.0562316  0.03684317 ... 0.03450575 0.08849828 0.01753027]
29,/content/vehicle-detection-image-set/data/vehicles/middle (174).png,1.0,[0.3842334  0.06070944 0.16928269 ... 0.04243514 0.07676028 0.07101867]
30,/content/vehicle-detection-image-set/data/non-vehicles/image1898.png,0.0,[0.22819541 0.07171287 0.19949333 ... 0.08359885 0.11299486 0.19077498]
31,/content/vehicle-detection-image-set/data/vehicles/left (374).png,1.0,[0.26243599 0.26243599 0.03258371 ... 0.12099292 0.13211371 0.20673283]
32,/content/vehicle-detection-image-set/data/non-vehicles/image1089.png,0.0,[0.0164269  0.         0.         ... 0.04270383 0.00957807 0.00677272]
33,/content/vehicle-detection-image-set/data/vehicles/3985.png,1.0,[0.242478   0.14760468 0.0191562  ... 0.         0.01845861 0.1195233 ]
34,/content/vehicle-detection-image-set/data/vehicles/4944.png,1.0,[0.05032664 0.00998131 0.00122844 ... 0.02022926 0.         0.        ]
35,/content/vehicle-detection-image-set/data/non-vehicles/extra4807.png,0.0,[0.09634121 0.07935192 0.17637045 ... 0.06385536 0.04258636 0.10334222]
36,/content/vehicle-detection-image-set/data/non-vehicles/extra3749.png,0.0,[0.09172012 0.1044494  0.1840164  ... 0.01750076 0.00361784 0.        ]
37,/content/vehicle-detection-image-set/data/non-vehicles/image997.png,0.0,[0.26616339 0.2463024  0.14770924 ... 0.01326184 0.00378804 0.0053571 ]
38,/content/vehicle-detection-image-set/data/non-vehicles/image1390.png,0.0,[0.10883119 0.01282262 0.06510144 ... 0.2060092  0.10819869 0.07467979]
39,/content/vehicle-detection-image-set/data/non-vehicles/extra1270.png,0.0,[0.1019513  0.02998319 0.16702802 ... 0.05722717 0.05786452 0.05951817]
40,/content/vehicle-detection-image-set/data/vehicles/4808.png,1.0,[0.2952889  0.0862617  0.05423997 ... 0.         0.00204168 0.02441428]
41,/content/vehicle-detection-image-set/data/non-vehicles/extra598.png,0.0,[0.25365486 0.05545205 0.07221061 ... 0.0404351  0.03196676 0.03013855]
42,/content/vehicle-detection-image-set/data/non-vehicles/extra4760.png,0.0,[0.17920373 0.07989937 0.11831845 ... 0.01578492 0.00329581 0.00466098]
43,/content/vehicle-detection-image-set/data/non-vehicles/extra4572.png,0.0,[0.1432026  0.16231319 0.14398423 ... 0.02181047 0.00306657 0.00268956]
44,/content/vehicle-detection-image-set/data/vehicles/5018.png,1.0,[0.28389932 0.06587184 0.03565318 ... 0.10042    0.08392438 0.005319  ]
45,/content/vehicle-detection-image-set/data/vehicles/far (392).png,1.0,[0.17148034 0.02439946 0.12554699 ... 0.03164885 0.12053323 0.10542832]
46,/content/vehicle-detection-image-set/data/non-vehicles/image2204.png,0.0,[0.0819436  0.03380833 0.03904901 ... 0.04396034 0.03023984 0.0238809 ]
47,/content/vehicle-detection-image-set/data/vehicles/3243.png,1.0,[0.05765446 0.01020259 0.02235026 ... 0.05914743 0.03076288 0.01316649]
48,/content/vehicle-detection-image-set/data/vehicles/4755.png,1.0,[0.22926665 0.05252881 0.00918723 ... 0.         0.         0.        ]
49,/content/vehicle-detection-image-set/data/vehicles/middle (279).png,1.0,[0.06011208 0.01657766 0.08488007 ... 0.10120355 0.05619993 0.04832847]
50,/content/vehicle-detection-image-set/data/vehicles/3411.png,1.0,[0.06797214 0.01433347 0.01264049 ... 0.05811275 0.01018763 0.16111642]
51,/content/vehicle-detection-image-set/data/vehicles/2546.png,1.0,[0.36305561 0.00844484 0.03765565 ... 0.07917701 0.0579087  0.01379933]
52,/content/vehicle-detection-image-set/data/vehicles/4609.png,1.0,[0.0410282 0.        0.0883271 ... 0.        0.        0.       ]
53,/content/vehicle-detection-image-set/data/vehicles/4124.png,1.0,[0.28723376 0.00574868 0.03945685 ... 0.06187114 0.02660836 0.        ]
54,/content/vehicle-detection-image-set/data/non-vehicles/extra3645.png,0.0,[0.08026879 0.00393036 0.01163414 ... 0.01624936 0.01556351 0.        ]
55,/content/vehicle-detection-image-set/data/non-vehicles/extra4968.png,0.0,[0.25374486 0.21145039 0.1687859  ... 0.03113644 0.         0.        ]
56,/content/vehicle-detection-image-set/data/vehicles/5338.png,1.0,[0.28190719 0.06862881 0.05330963 ... 0.         0.03350284 0.26939706]
57,/content/vehicle-detection-image-set/data/vehicles/2384.png,1.0,[0.1685779  0.12098406 0.11669624 ... 0.16895937 0.11100751 0.11239907]
58,/content/vehicle-detection-image-set/data/non-vehicles/image561.png,0.0,[0.27842703 0.16685529 0.14388981 ... 0.070121   0.17673533 0.179272  ]
59,/content/vehicle-detection-image-set/data/non-vehicles/image2751.png,0.0,[0.15139968 0.0244193  0.00880451 ... 0.13610285 0.16370544 0.16379027]
60,/content/vehicle-detection-image-set/data/vehicles/1767.png,1.0,[0.20092555 0.11682928 0.14493449 ... 0.03192238 0.01491227 0.01151215]
61,/content/vehicle-detection-image-set/data/non-vehicles/extra1411.png,0.0,[0.21038896 0.05310801 0.08866107 ... 0.11960653 0.09586545 0.02939309]
62,/content/vehicle-detection-image-set/data/vehicles/middle (392).png,1.0,[0.16202311 0.11473643 0.070491   ... 0.06863108 0.10054173 0.13584096]
63,/content/vehicle-detection-image-set/data/non-vehicles/extra529.png,0.0,[0.02821747 0.03154809 0.141787   ... 0.23162754 0.23618791 0.23618791]
