,path,labels,hog_features
0,/content/vehicle-detection-image-set/data/vehicles/far (441).png,1.0,[0.         0.         0.         ... 0.         0.11961898 0.12991111]
1,/content/vehicle-detection-image-set/data/vehicles/3486.png,1.0,[0.39251742 0.         0.         ... 0.29160106 0.13063307 0.08261961]
2,/content/vehicle-detection-image-set/data/vehicles/2271.png,1.0,[0.0870635 0.        0.        ... 0.        0.        0.       ]
3,/content/vehicle-detection-image-set/data/non-vehicles/image2128.png,0.0,[0.05374416 0.         0.         ... 0.         0.08594932 0.        ]
4,/content/vehicle-detection-image-set/data/non-vehicles/image1077.png,0.0,[0.02282174 0.         0.         ... 0.         0.2636245  0.31875621]
5,/content/vehicle-detection-image-set/data/non-vehicles/extra2728.png,0.0,[0.10943583 0.         0.         ... 0.         0.         0.        ]
6,/content/vehicle-detection-image-set/data/non-vehicles/extra654.png,0.0,[0.17810963 0.         0.         ... 0.27435631 0.         0.16414359]
7,/content/vehicle-detection-image-set/data/vehicles/4166.png,1.0,[0.28476358 0.28476358 0.         ... 0.         0.         0.10826719]
8,/content/vehicle-detection-image-set/data/vehicles/462.png,1.0,[0.28083469 0.         0.         ... 0.         0.         0.20895383]
9,/content/vehicle-detection-image-set/data/vehicles/far (647).png,1.0,[0.16682189 0.1243417  0.         ... 0.         0.         0.        ]
10,/content/vehicle-detection-image-set/data/vehicles/3077.png,1.0,[0.0518744 0.        0.        ... 0.        0.        0.       ]
11,/content/vehicle-detection-image-set/data/vehicles/far (569).png,1.0,[0.1612138  0.         0.         ... 0.15585931 0.         0.        ]
12,/content/vehicle-detection-image-set/data/vehicles/right (591).png,1.0,[0.29841223 0.         0.29841223 ... 0.         0.         0.050647  ]
13,/content/vehicle-detection-image-set/data/non-vehicles/extra2219.png,0.0,[0.11090893 0.         0.         ... 0.03627535 0.01422083 0.        ]
14,/content/vehicle-detection-image-set/data/vehicles/3594.png,1.0,[0.07681099 0.         0.         ... 0.18012735 0.         0.        ]
15,/content/vehicle-detection-image-set/data/non-vehicles/image115.png,0.0,[0.10928421 0.09850745 0.14776119 ... 0.35089886 0.07719099 0.10916454]
16,/content/vehicle-detection-image-set/data/non-vehicles/extra5599.png,0.0,[0.05308065 0.         0.         ... 0.         0.         0.0619093 ]
17,/content/vehicle-detection-image-set/data/non-vehicles/extra5447.png,0.0,[0.29646293 0.         0.         ... 0.         0.         0.        ]
18,/content/vehicle-detection-image-set/data/vehicles/left (305).png,1.0,[0.09589817 0.         0.13585493 ... 0.         0.         0.        ]
19,/content/vehicle-detection-image-set/data/vehicles/2085.png,1.0,[0.321347   0.         0.03246095 ... 0.         0.11086053 0.        ]
20,/content/vehicle-detection-image-set/data/non-vehicles/extra5753.png,0.0,[0.32615601 0.32615601 0.         ... 0.13977357 0.13977357 0.        ]
21,/content/vehicle-detection-image-set/data/vehicles/1238.png,1.0,[0.03075851 0.         0.         ... 0.         0.         0.        ]
22,/content/vehicle-detection-image-set/data/non-vehicles/image2938.png,0.0,[0.424347   0.         0.         ... 0.12385637 0.06337068 0.06690798]
23,/content/vehicle-detection-image-set/data/vehicles/3146.png,1.0,[0.32843898 0.         0.30414108 ... 0.         0.         0.        ]
24,/content/vehicle-detection-image-set/data/non-vehicles/image1666.png,0.0,[0.29051723 0.         0.26439175 ... 0.         0.26329774 0.2278887 ]
25,/content/vehicle-detection-image-set/data/vehicles/5732.png,1.0,[0.33178925 0.         0.         ... 0.22410213 0.2613463  0.17531606]
26,/content/vehicle-detection-image-set/data/non-vehicles/extra3437.png,0.0,[0.28770072 0.         0.27810796 ... 0.         0.         0.        ]
